pedagogy,mistake
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
telling,missing_wrong_factual_knowledge
generic,misunderstanding_of_a_question
generic,missing_wrong_factual_knowledge
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
probing,misunderstanding_of_a_question
probing,missing_wrong_factual_knowledge
probing,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
probing,misunderstanding_of_a_question
probing,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
generic,missing_wrong_factual_knowledge
generic,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
generic,none_of_the_above
generic,unit_conversion_error
generic,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,reached_correct_solution_but_proceeded_further
generic,misunderstanding_of_a_question
generic,calculation_error_easily_solved_by_a_calculator
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,missing_wrong_factual_knowledge
generic,missing_wrong_factual_knowledge
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,calculation_error_easily_solved_by_a_calculator
generic,reached_correct_solution_but_proceeded_further
generic,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
