text,label
tell me your solution,generic
how do you know his friend has 12 tyres?,probing
"hi claire, talk me through your solution",generic
a good start you worked out the ratio was 5 3. what is the total ratio?,focus
walk me thorugh your solution,telling
what about the difference between the distance from the riverbed to the hill's peak and the distance from the riverbed to the hill's base,telling
"hi deandre, talk me through your solution",generic
how much did the watermelons cost and how much money did he come home with?,probing
hi scott talk me through your solution,generic
how many days are in april?,probing
hi jian talk me through your solution,generic
okay well done for calculating the cost of the hospital bed. we now need to figure out how many minutes the two specialists looked at dakota for,focus
"hi rishi, talk me through your solution",generic
"ok, how many penguins were in the colony at the start of the year?",probing
walk me through your solution,probing
a dozen croissants cost 8.00 and she needs 4 dozens so that will costs 8 4,telling
walk me through your solution,probing
"going by the ratio, for every 1 part that amy gets, sandra will get 2 parts since amy got 50, sandra will get 2 50 100 100",telling
walk me through your solution,probing
15 bunnies 2 teddies bunny 30 teddies.,telling
"hi hunter, talk me through your solution.",generic
the question tells us she paid the down payment in addition to the monthly payments. what were the total monthly payments?,focus
tell me your soution,probing
antonio has 30-6 24 pencils antonio and mitchell have 24 30 54 pencils together. 54,telling
tell me your solution,probing
the first pair of weights weighs 3 lb each so all total they weigh 2 3 6 lbs the second pair of weights weigh 5 lbs each so they weigh 2 5 10 lbs the third pair of weights weigh 8 lbs each so they weigh 2 8 16lbs,telling
"ho michael, can you explain your answer?",generic
"ok, let's start with what we know. how much did he spend?",focus
hi jordy. have you read the question carefully? can you go through the question with me?,generic
how many cylinders are there on the space station?,probing
"hi cody, talk me through your solution",generic
you need to read the last part of the questions again. it says jacob is 3 5 of phoebes current age.,telling
"hi rishi, could you explain your maths to me please.",generic
"rishi, if i gave you and my friend 20 sweets each and gave my friend 10 more sweets, how many sweets would each of you have?",probing
"hi luca, can you explain your workings?",generic
can you see that you have deducted the whole sprigs twice?,probing
"hi lakisha, can you explain your answer?",generic
"ok, can you see you forgot to deduct the hours for cleaning and cooking?",focus
"hello cody, could you explain your maths to me please?",generic
if i were a tshirt seller and i sold 10 tshirts last saturday and this saturday i sold 2 more than last week. would i need to subtract or add the tshirts to last saturday's total?,probing
"hi jia, can you explain your answer?",generic
"you chose a goo method, but can you see that you calculated an extra day?",focus
hi luca can you tell me about your maths today please?,generic
if 2 rabbits came to a hill and each night they had 10 babies each how many rabbits would there be after the first night. remember each rabbit has 10 babies each and the 2 rabbits are also there.,probing
"hi heidi, can you tell me about your maths today please?",generic
if you look at the question it asks about legs and paws in the pool. this is important information. why do you think it didn't just ask about legs?,focus
"hello jordy, can you tell me about your maths today",generic
you did really well but i can see at the start of the problem it mentions that they buy 12 of concessions. where have you dealt with this in your solution?,focus
"hi steven, can you tell me how you got to your answer?",generic
"so, if you know that 15 singers didn't sing in the first verse, and 5 sang in the second, how many singers total sang in the first and second verses ?",focus
"hi jordy, can you tell me how you got your answer?",generic
is there a simpler way to find out the difference in weight between jack and anna?,focus
"hi cody, can you tell me how you got to your answer?",generic
"okay, so if 20 big toenails take up the same amount of space as 40 regular toenails, how many regular toenails is a big toenail equal to?",focus
"hi lakisha, can you tell me how you got to your answer?",generic
"okay, so if it took 30 minutes on the first step, then 15 on the second step, and 45 to learn the first two steps total, and the third step takes the same amount of time to learn as the first and second together...",focus
hello could you guide me through your answer from figuring out there are 18 fruits left?,generic
"lets go back to that step, you go from two fruits so kiwi and lemon to dividing by three?",focus
"hi luca, can you tell me how you got to your answer?",generic
andy walked 50 meters from his house to school. but then he walked back from the school to his house,focus
guide me through your working sout steo by step please,generic
ok is there another way you could work this out instead of using algebra?,focus
guide me through your thinking please?,generic
ok if you read the question again how long is the crooked part of the river?,focus
show me your workings please to how you got to your solution,generic
i can see you have started off correctly here. yes he needs 600 galloons. what do you need to do to these amounts from the 1000?,focus
"you have got the question right up to a point, can you recheck it and see if you can identify the mistake",generic
how many students are there?,probing
guide me through your workings out please to show me how you got to your solution ?,generic
perfect i can see you have worked it out corrrectly . how many hands does he have?,focus
hi rishi could you please walk me through your solution.,generic
"i want to have a look at the start of the problem. we don't know how many bikes hank has in stock, and this does not matter because we are finding the difference. if i had a shop selling carrots and i sold 20 carrots and bought 25 carrots to replenish the stock. we don't know how many carrots are in the store but we can work out the difference in stock by the end of the day. what is the difference in my stock levels of carrots at the end of the day.",probing
hi jian could you please walk me through you solution,generic
"i think your maths here is good, however we need to check you calculations surrounding the days of the week. talk me through which days sarah has eaten her veg and which days are still to go.",focus
show me your working sot please?,generic
ricks lunch cost?,focus
hi steven are you ok,generic
you have done really well with your calculations steven. but you have missed out a step right at the end. remember you are finding the total gallons for both days.,focus
hi jordy could you please walk me through your solution please,generic
"jordy, this question requires you to find the difference. what is the difference between the boys and girls",focus
hi claire could you please walk me through your solution,generic
"if i have 2 dogs for every cat and i have 5 cats, i should have double the number of dogs. how many dogs will i have",probing
"hi jia, talk me through your solution",generic
how many visitors attending on the remaining 5 days?,probing
"hi heidi, talk me through your solution",generic
how many adults attended?,probing
"hi jordy, talk me through your solution",generic
you said the they scored 37 points so should we subtract 9 from that?,probing
"hi luca, talk me through your solution",generic
how many triangles where the cucumber sandwiches cut into?,probing
"hi jian, talk me through your solution",generic
well done. we know that sam had 19 dimes and spent 12 dimes so what does she have left?,probing
hi claire can you explain your thinking to me please?,generic
try working out how many hours they all worked,focus
hi ayisha can you talk me through your thinking please?,generic
45 minutes is how much tv they watch a day,telling
hi seth can you explain your working out to me?,generic
remember that cyrus is a member of the family...how many other members of the family are there?,focus
hi riya can you talk me through your working out please?,generic
mabel has 5 times as many remember,focus
"hi cody, talk me through your solution?",generic
"ok, you've gone too far. you've correctly identified the 36 months of savings.",focus
hi can you talk me through your answer,generic
ok i can see that you have correctly calculated the area of each house . how many friends also built a house,probing
hi emily talk me through your solution,generic
"ok, remember there are only 12 eggs to begin with",focus
hi brenda can you talk me through your working out please?,generic
there were 20 soccer balls,probing
hi seth talk me through your solution?,generic
you're missing some key information from the question.,focus
walk me through your solution,telling
"the ratio between the time charged and the time to be charged is 100 25 4. to reach 100 , the cell must be charged for 45 minutes 4 180 minutes.",telling
walk me through your solution,telling
the total number of additional objects she learns to juggle 2 objects week 5 weeks 10 objects,telling
walk me through this,telling
"there are 25 people in business first and business class, so there are 25 - 3 22 in business class.",telling
hi can you talk me through your answer,generic
ok how many gallons did winston use in total,probing
walk me through,telling
"f 60,000 is triple what connie bought the land for, then the initial cost, which is the amount given to her by blake, was 60,000 3 20,000. 20,000",telling
walk me through,telling
claire has spent a total of 24 hours in a day - 4 hours cleaning - 2 hours cooking - 8 hours sleeping 10 hours crafting and tailoring.,telling
hi riya tell me your solution please,generic
great start. you correctly identified the increased amount of 21000 toilets papers per day. don't forget to add the orginal production amount before multiplying it by the number of days in march,focus
hi can you explain your answer,generic
i can see you have correctly calculated she would need 60 hours to sew the dresses. how many hours a week does she sew,probing
"hi winnie, tell me your solution?",generic
how many visitors were in december?,focus
hi can you talk me through your answer,generic
ok i can see you have calculated that he has already read 262 pages and that he wants to read 50 pages a day. how many days are in a week,probing
hi talk me through your answer,generic
ok i can see you have worked out he sold 50 cones. did he get money for the free ones,probing
hi emily. could you walk me through how you calculated the cost of the bricks?,generic
read through the question again and check that you have the correct information for that step,focus
hi steven. please walk me through your solution,generic
"okay so, how many strawberries does she pick each time?",generic
"hi deandre, please walk me through your solution",generic
how many children is she buying tickets for?,focus
"hi scott, please talk me through your solution",generic
"okay, what is the sum of the three angles?",generic
"hi michael, please talk me through your solution",generic
what was the old budget?,focus
hi alejandra can you walk me through your solution?,generic
"okay, let's start at the beginning, how many red erasers does tanya have?",focus
"hi steven, can you walk me through your solution?",generic
"not quite, we don't need to work backwards here- let's start from the top, how many gumballs were given to alisha?",focus
"hi ronny, can you guide me through your solution?",generic
"so you started out correctly, could you read the question again and confirm how many hour overtime she got working one week?",focus
"hi ronny, please could you explain your workings?",generic
let's look back at the question. who,probing
"hi lakisha, can you walk me through the solution?",generic
"okay, could you tell me why you subtracted 8 twice?",focus
"hi winnie, can you talk me through your solution?",generic
can you tell me why you subtracted the spare wheels? did you need to do this?,focus
"hi jordy, please could you explain your workings?",generic
are you sure that s c 100?,focus
"hi brenda, please talk me through how you worked out the answer",generic
can we look at the total number of people in the book club. i got a different answer. where may you have gone wrong?,probing
"hi emily, please talk me through your answer.",generic
ok lets look at the cupcakes. he needs 1 2 a can for a dozen cupcakes. so how much would he need for 24 cupcakes?,probing
"hi riya, please talk me through your ideas?",generic
ok shall we look at it a different way. what percentage did louie get wrong?,focus
hi claire can you explainyour answer please?,generic
the first thing we need to do is work out the new budget. can you do that?,focus
"hi, can you explain your answer.",generic
"ok, you forgot about the apple she ate herself.",focus
"hi ayisha, can you explain your answer",generic
let's go back to the question. the weight of the whole batch includes the peanuts and the oil. does that help you spot your mistake?,focus
"hi, can you explain your answer?",generic
it might be easier to start by working out how many scallops are needed in total. can you do that?,focus
"hi, can you explain your answer?",generic
we need to start by working out the total number of students. can you do that?,focus
"hi alejandra, can you please walk me through your solution?",generic
"i like how you determined that 1 person would take 10 hours to solve the problem. and you identified that two people working together can divide the work between them to have 5 hours of work. but then look at your next step, does it make sense based on what you said?",probing
"hi, jia. walk me through your thoughts please.",generic
i like your algebraic equation.,generic
"hi luca, please walk me through your solution",generic
"look back at the question, it says 2 people purchased 4 hamburgers. it does not say each.",generic
jian please walk me through your answer,generic
i like how you were able to identify the total number of mistakes made by each student.,probing
"hi , could you please walk me through your solution?",generic
why did you multiply by 40?,focus
"hi, could you please walk me through your solution?",generic
how many total dishes with mangoes are there in the buffet?,focus
"hi, could you please walk me through your solution?",generic
are you sure he runs for 1 hour everyday? the question says he runs less of thursday and more on friday. the step of multiplying 1 hour with 5 days doesn't seem to be justified. do you get it?,focus
"hi, could you please walk me through your solution?",generic
that doesn't seem to be correct. can you find out how many cars have valid tickets?,focus
"hi rishi, could you please walk me through your solution?",generic
let me tell you that gratuity is the amount paid extra to that of the total bill. can you calculate how much extra was paid apart from the total bill?,focus
"hello heidi, could you tell me about the maths you did today.",generic
the question says that it takes twice as long to read the book as it does to get lunch. if it take 8 hours to do that how long does the reading take.,focus
"hi rishi, could you tell me about your maths today",generic
"i agree that john was 36. if i am 40 now, how old will i be in 6 years",probing
"hello, de andre can you tell me about the maths you did today",generic
if i made a cake with 4 grams of flour for every 16 grams of sugar and my mixture weighed 40 grams. my ratio would be 40 20. can you use this to work out the ratio from the example given,probing
hello can you tell me about your maths today,generic
what was the word problem asking you to find out,focus
hello winnie could you tell me about todays maths,generic
so if i was approaching this question i would start by finding out the total time frank wanted to spend in the mazes as a totoa,telling
"hi, could you please walk me through your solution?",generic
doesn't seem to make sense. can you explain why 7 was added two times?,probing
"hi, could you please walk me through your solution?",generic
do you understand the meaning of the term out of pocket?,generic
"hi jia, can you tell me how you got your answer?",generic
"but the students that chose dogs and video games, and the students that chose dogs and movies, are in groups that don't overlap",focus
"hi mariana, can you tell me how you got your answer?",generic
"okay, so matt used 20 pounds of flour total. if 2 pounds of flour can make 12 cookies, how do we figure out how many cookies 20 pound of flour can make?",focus
"hi michael, can you tell me how you got your answer?",generic
okay. how many hours did max play on wednesday?,focus
"hi steven, can you tell me how you got your answer?",generic
"if the store made 36 sales total, then we should be able to figure out the number of sales in each section by using the correct fraction of 36 for each section",focus
"hi heidi, can you tell me how you got your answer?",generic
"ok so if james is 12 years younger than john, and tim is 79, then 5 years less than tim'",focus
hi brenda can you walk me through your solution,generic
your equation 20 x 3 11 x is not quite right,generic
hi deandre please walk me through your answer,generic
that obviously does not make sense. why would it take longer time for 15 pugs to work together? you need to figure out how long it takes for one pug to do the work first,generic
please walk me through your solution,generic
"okay slow down. so you are correct after hour 1 it will have 5 logs. after 2 hours, it will have burned another 3 logs, not 6 remember because you already accounted for that in hour 1. so tell me how many logs will it have after 2 hours?",probing
"hi riya, you have made an error in your solution. please talk me through how you solved the problem.",generic
how many students were present in school on one day?,focus
hi michael. you appear to have been confused by the question. please talk me through your solution.,generic
"ok, that is correct apart from the addition at the end. please can you check your answer to see if you can tell where you have gone wrong.",focus
"hi scott, you have made an error in your solution to this problem. please can you talk me through your thinking.",generic
"when you added 4 to 9, what did the total relate to?",focus
"hi, please can you talk me through your solution?",generic
ok let's look at the first step. how many months in 4 years?,focus
"hi, please can you talk me through your solution?",generic
let's look at your first step. read the question again. how much did the flour and sugar cost in total?,focus
hi can you talk me through your answer,generic
ok lets work through this how many cents ra give to peter,probing
"hi, please can you talk me through your solution?",generic
that's correct up until your last step. how many balloons touch the ceiling i.e. are filled with helium?,focus
hi can you talk me through your answer,generic
ok i can see you have worked out that in 5 years james will be 35. if in 5 years matt will be twice james age how old will matt be,probing
"hi, please can you talk me through your solution?",generic
"ok so your first steps are correct. but read the question again, and tell me does lisa make 13 eggs each day, or each week?",focus
"hi lakisha, you have made a mistake in your solution. please can you talk me through your method.",generic
