pedagogy,mistake
focus,reached_correct_solution_but_proceeded_further
probing,extra_quantity_or_missing_quantity
probing,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,none_of_the_above
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
probing,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
probing,missing_wrong_factual_knowledge
generic,reached_correct_solution_but_proceeded_further
probing,missing_wrong_factual_knowledge
generic,missing_wrong_factual_knowledge
generic,missing_wrong_factual_knowledge
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
probing,none_of_the_above
generic,misunderstanding_of_a_question
generic,none_of_the_above
probing,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
focus,misunderstanding_of_a_question
generic,unit_conversion_error
generic,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,misunderstanding_of_a_question
focus,misunderstanding_of_a_question
generic,missing_wrong_factual_knowledge
generic,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
probing,reached_correct_solution_but_proceeded_further
generic,none_of_the_above
generic,reached_correct_solution_but_proceeded_further
generic,calculation_error_easily_solved_by_a_calculator
generic,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
focus,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
focus,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
generic,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
generic,none_of_the_above
generic,misunderstanding_of_a_question
probing,missing_wrong_factual_knowledge
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,reached_correct_solution_but_proceeded_further
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
focus,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
generic,reached_correct_solution_but_proceeded_further
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
probing,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,unit_conversion_error
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,missing_wrong_factual_knowledge
generic,missing_wrong_factual_knowledge
probing,calculation_error_easily_solved_by_a_calculator
generic,reached_correct_solution_but_proceeded_further
focus,none_of_the_above
generic,misunderstanding_of_a_question
focus,none_of_the_above
generic,none_of_the_above
telling,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
focus,missing_wrong_factual_knowledge
probing,unit_conversion_error
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,missing_wrong_factual_knowledge
generic,unit_conversion_error
probing,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,none_of_the_above
generic,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
generic,calculation_error_easily_solved_by_a_calculator
focus,missing_wrong_factual_knowledge
generic,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,extra_quantity_or_missing_quantity
generic,missing_wrong_factual_knowledge
probing,none_of_the_above
probing,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
focus,calculation_error_easily_solved_by_a_calculator
probing,none_of_the_above
generic,extra_quantity_or_missing_quantity
generic,extra_quantity_or_missing_quantity
generic,reached_correct_solution_but_proceeded_further
probing,extra_quantity_or_missing_quantity
generic,misunderstanding_of_a_question
generic,calculation_error_easily_solved_by_a_calculator
generic,misunderstanding_of_a_question
focus,calculation_error_easily_solved_by_a_calculator
generic,none_of_the_above
probing,misunderstanding_of_a_question
generic,misunderstanding_of_a_question
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
generic,none_of_the_above
generic,reached_correct_solution_but_proceeded_further
generic,missing_wrong_factual_knowledge
generic,calculation_error_easily_solved_by_a_calculator
probing,calculation_error_easily_solved_by_a_calculator
generic,extra_quantity_or_missing_quantity
